id,recording,site,year,month,day,hour,min,species,songtype,validated
84960810,20200301_060000.flac,Yat1,2020,3,1,6,0,sp46,Common Song,not present
84960835,20200301_073000.flac,Yat1,2020,3,1,7,30,sp46,Common Song,not present
84960916,20200302_073000.flac,Yat1,2020,3,2,7,30,sp46,Common Song,not present
84960948,20200319_220000.flac,Yat1,2020,3,19,22,0,sp46,Common Song,present
84960950,20200302_083000.flac,Yat1,2020,3,2,8,30,sp46,Common Song,not present
84960958,20200413_213000.flac,Yat1,2020,4,13,21,30,sp46,Common Song,present
84960979,20200319_223000.flac,Yat1,2020,3,19,22,30,sp46,Common Song,present
84960982,20200704_083000.flac,Yat1,2020,7,4,8,30,sp46,Common Song,not present
84960984,20200628_023000.flac,Yat1,2020,6,28,2,30,sp46,Common Song,present
84960990,20200413_220000.flac,Yat1,2020,4,13,22,0,sp46,Common Song,present
84960995,20201010_220000.flac,Yat1,2020,10,10,22,0,sp46,Common Song,present
84961023,20200413_223000.flac,Yat1,2020,4,13,22,30,sp46,Common Song,present
84961031,20201010_223000.flac,Yat1,2020,10,10,22,30,sp46,Common Song,present
84961038,20200704_093000.flac,Yat1,2020,7,4,9,30,sp46,Common Song,not present
84961040,20200628_033000.flac,Yat1,2020,6,28,3,30,sp46,Common Song,present
84961047,20200618_200000.flac,Yat1,2020,6,18,20,0,sp46,Common Song,present
84961071,20200809_133000.flac,Yat1,2020,8,9,13,30,sp46,Common Song,present
84961073,20200319_233000.flac,Yat1,2020,3,19,23,30,sp46,Common Song,present
84961075,20200628_040000.flac,Yat1,2020,6,28,4,0,sp46,Common Song,present
84961077,20200413_230000.flac,Yat1,2020,4,13,23,0,sp46,Common Song,present
84961078,20200303_090000.flac,Yat1,2020,3,3,9,0,sp46,Common Song,not present
84961084,20200407_180000.flac,Yat1,2020,4,7,18,0,sp46,Common Song,present
84961092,20201010_233000.flac,Yat1,2020,10,10,23,30,sp46,Common Song,present
84961110,20200803_080000.flac,Yat1,2020,8,3,8,0,sp46,Common Song,not present
84961116,20200320_000000.flac,Yat1,2020,3,20,0,0,sp46,Common Song,present
84961133,20200815_200000.flac,Yat1,2020,8,15,20,0,sp46,Common Song,present
84961134,20200618_213000.flac,Yat1,2020,6,18,21,30,sp46,Common Song,present
84961137,20200414_003000.flac,Yat1,2020,4,14,0,30,sp46,Common Song,present
84961141,20200304_060000.flac,Yat1,2020,3,4,6,0,sp46,Common Song,not present
84961144,20200320_003000.flac,Yat1,2020,3,20,0,30,sp46,Common Song,present
84961152,20200407_190000.flac,Yat1,2020,4,7,19,0,sp46,Common Song,present
84961157,20200426_123000.flac,Yat1,2020,4,26,12,30,sp46,Common Song,not present
84961171,20200320_010000.flac,Yat1,2020,3,20,1,0,sp46,Common Song,present
84961173,20200414_010000.flac,Yat1,2020,4,14,1,0,sp46,Common Song,present
84961195,20200320_013000.flac,Yat1,2020,3,20,1,30,sp46,Common Song,present
84961197,20200401_133000.flac,Yat1,2020,4,1,13,30,sp46,Common Song,not present
84961203,20200414_013000.flac,Yat1,2020,4,14,1,30,sp46,Common Song,present
84961212,20200420_090000.flac,Yat1,2020,4,20,9,0,sp46,Common Song,not present
84961222,20201004_200000.flac,Yat1,2020,10,4,20,0,sp46,Common Song,present
84961226,20201011_013000.flac,Yat1,2020,10,11,1,30,sp46,Common Song,present
84961227,20200407_200000.flac,Yat1,2020,4,7,20,0,sp46,Common Song,present
84961243,20200721_223000.flac,Yat1,2020,7,21,22,30,sp46,Common Song,present
84961245,20200306_190000.flac,Yat1,2020,3,6,19,0,sp46,Common Song,present
84961247,20200326_080000.flac,Yat1,2020,3,26,8,0,sp46,Common Song,not present
84961248,20200414_020000.flac,Yat1,2020,4,14,2,0,sp46,Common Song,present
84961276,20200721_230000.flac,Yat1,2020,7,21,23,0,sp46,Common Song,present
84961280,20200326_090000.flac,Yat1,2020,3,26,9,0,sp46,Common Song,not present
84961286,20200306_193000.flac,Yat1,2020,3,6,19,30,sp46,Common Song,present
84961287,20200407_210000.flac,Yat1,2020,4,7,21,0,sp46,Common Song,present
84961291,20201004_210000.flac,Yat1,2020,10,4,21,0,sp46,Common Song,present
84961309,20200721_233000.flac,Yat1,2020,7,21,23,30,sp46,Common Song,present
84961319,20200628_080000.flac,Yat1,2020,6,28,8,0,sp46,Common Song,not present
84961320,20200306_200000.flac,Yat1,2020,3,6,20,0,sp46,Common Song,present
84961323,20201004_213000.flac,Yat1,2020,10,4,21,30,sp46,Common Song,present
84961324,20200619_003000.flac,Yat1,2020,6,19,0,30,sp46,Common Song,present
84961326,20200407_213000.flac,Yat1,2020,4,7,21,30,sp46,Common Song,present
84961332,20200305_090000.flac,Yat1,2020,3,5,9,0,sp46,Common Song,not present
84961345,20200728_060000.flac,Yat1,2020,7,28,6,0,sp46,Common Song,not present
84961355,20200619_010000.flac,Yat1,2020,6,19,1,0,sp46,Common Song,present
84961361,20201004_220000.flac,Yat1,2020,10,4,22,0,sp46,Common Song,present
84961363,20200306_203000.flac,Yat1,2020,3,6,20,30,sp46,Common Song,present
84961378,20200728_063000.flac,Yat1,2020,7,28,6,30,sp46,Common Song,not present
84961391,20200707_190000.flac,Yat1,2020,7,7,19,0,sp46,Common Song,present
84961392,20200407_223000.flac,Yat1,2020,4,7,22,30,sp46,Common Song,present
84961393,20201016_180000.flac,Yat1,2020,10,16,18,0,sp46,Common Song,present
