rec,presence,site,year,month,day,hour,minute,species,songtype
20200301_180000.flac,0,Yat1,2020,3,1,18,0,sp44,Nocturnal Song
20200301_183000.flac,1,Yat1,2020,3,1,18,30,sp44,Nocturnal Song
20200301_190000.flac,1,Yat1,2020,3,1,19,0,sp44,Nocturnal Song
20200301_193000.flac,1,Yat1,2020,3,1,19,30,sp44,Nocturnal Song
20200301_200000.flac,1,Yat1,2020,3,1,20,0,sp44,Nocturnal Song
20200301_203000.flac,0,Yat1,2020,3,1,20,30,sp44,Nocturnal Song
20200301_210000.flac,0,Yat1,2020,3,1,21,0,sp44,Nocturnal Song
20200301_213000.flac,0,Yat1,2020,3,1,21,30,sp44,Nocturnal Song
20200301_220000.flac,0,Yat1,2020,3,1,22,0,sp44,Nocturnal Song
20200301_230000.flac,0,Yat1,2020,3,1,23,0,sp44,Nocturnal Song
20200301_233000.flac,0,Yat1,2020,3,1,23,30,sp44,Nocturnal Song
20200302_180000.flac,0,Yat1,2020,3,2,18,0,sp44,Nocturnal Song
20200302_183000.flac,1,Yat1,2020,3,2,18,30,sp44,Nocturnal Song
20200302_190000.flac,1,Yat1,2020,3,2,19,0,sp44,Nocturnal Song
20200302_200000.flac,1,Yat1,2020,3,2,20,0,sp44,Nocturnal Song
20200302_203000.flac,0,Yat1,2020,3,2,20,30,sp44,Nocturnal Song
20200302_213000.flac,0,Yat1,2020,3,2,21,30,sp44,Nocturnal Song
20200302_220000.flac,0,Yat1,2020,3,2,22,0,sp44,Nocturnal Song
20200302_223000.flac,0,Yat1,2020,3,2,22,30,sp44,Nocturnal Song
20200302_230000.flac,0,Yat1,2020,3,2,23,0,sp44,Nocturnal Song
20200302_233000.flac,0,Yat1,2020,3,2,23,30,sp44,Nocturnal Song
20200303_180000.flac,0,Yat1,2020,3,3,18,0,sp44,Nocturnal Song
20200303_183000.flac,0,Yat1,2020,3,3,18,30,sp44,Nocturnal Song
20200303_190000.flac,0,Yat1,2020,3,3,19,0,sp44,Nocturnal Song
20200303_193000.flac,0,Yat1,2020,3,3,19,30,sp44,Nocturnal Song
20200303_210000.flac,1,Yat1,2020,3,3,21,0,sp44,Nocturnal Song
20200303_213000.flac,0,Yat1,2020,3,3,21,30,sp44,Nocturnal Song
20200303_223000.flac,0,Yat1,2020,3,3,22,30,sp44,Nocturnal Song
20200303_230000.flac,0,Yat1,2020,3,3,23,0,sp44,Nocturnal Song
20200303_233000.flac,0,Yat1,2020,3,3,23,30,sp44,Nocturnal Song
20200304_183000.flac,1,Yat1,2020,3,4,18,30,sp44,Nocturnal Song
20200304_190000.flac,1,Yat1,2020,3,4,19,0,sp44,Nocturnal Song
20200304_193000.flac,1,Yat1,2020,3,4,19,30,sp44,Nocturnal Song
20200304_200000.flac,1,Yat1,2020,3,4,20,0,sp44,Nocturnal Song
20200304_203000.flac,1,Yat1,2020,3,4,20,30,sp44,Nocturnal Song
20200304_210000.flac,0,Yat1,2020,3,4,21,0,sp44,Nocturnal Song
20200304_213000.flac,0,Yat1,2020,3,4,21,30,sp44,Nocturnal Song
20200304_220000.flac,0,Yat1,2020,3,4,22,0,sp44,Nocturnal Song
20200304_223000.flac,0,Yat1,2020,3,4,22,30,sp44,Nocturnal Song
20200304_230000.flac,0,Yat1,2020,3,4,23,0,sp44,Nocturnal Song
20200304_233000.flac,0,Yat1,2020,3,4,23,30,sp44,Nocturnal Song
20200305_180000.flac,0,Yat1,2020,3,5,18,0,sp44,Nocturnal Song
20200305_183000.flac,1,Yat1,2020,3,5,18,30,sp44,Nocturnal Song
20200305_190000.flac,1,Yat1,2020,3,5,19,0,sp44,Nocturnal Song
20200305_193000.flac,1,Yat1,2020,3,5,19,30,sp44,Nocturnal Song
20200305_200000.flac,0,Yat1,2020,3,5,20,0,sp44,Nocturnal Song
20200305_203000.flac,1,Yat1,2020,3,5,20,30,sp44,Nocturnal Song
20200305_210000.flac,1,Yat1,2020,3,5,21,0,sp44,Nocturnal Song
20200305_213000.flac,1,Yat1,2020,3,5,21,30,sp44,Nocturnal Song
20200305_220000.flac,0,Yat1,2020,3,5,22,0,sp44,Nocturnal Song
20200305_223000.flac,0,Yat1,2020,3,5,22,30,sp44,Nocturnal Song
20200305_230000.flac,0,Yat1,2020,3,5,23,0,sp44,Nocturnal Song
20200305_233000.flac,0,Yat1,2020,3,5,23,30,sp44,Nocturnal Song
20200306_180000.flac,0,Yat1,2020,3,6,18,0,sp44,Nocturnal Song
20200306_183000.flac,1,Yat1,2020,3,6,18,30,sp44,Nocturnal Song
20200306_190000.flac,1,Yat1,2020,3,6,19,0,sp44,Nocturnal Song
20200306_193000.flac,1,Yat1,2020,3,6,19,30,sp44,Nocturnal Song
20200306_200000.flac,1,Yat1,2020,3,6,20,0,sp44,Nocturnal Song
20200306_203000.flac,1,Yat1,2020,3,6,20,30,sp44,Nocturnal Song
20200306_210000.flac,1,Yat1,2020,3,6,21,0,sp44,Nocturnal Song
20200306_213000.flac,1,Yat1,2020,3,6,21,30,sp44,Nocturnal Song
20200306_220000.flac,0,Yat1,2020,3,6,22,0,sp44,Nocturnal Song
20200306_223000.flac,0,Yat1,2020,3,6,22,30,sp44,Nocturnal Song
20200306_230000.flac,0,Yat1,2020,3,6,23,0,sp44,Nocturnal Song
20200306_233000.flac,1,Yat1,2020,3,6,23,30,sp44,Nocturnal Song
20200307_180000.flac,0,Yat1,2020,3,7,18,0,sp44,Nocturnal Song
20200307_183000.flac,1,Yat1,2020,3,7,18,30,sp44,Nocturnal Song
20200307_190000.flac,1,Yat1,2020,3,7,19,0,sp44,Nocturnal Song
20200307_193000.flac,0,Yat1,2020,3,7,19,30,sp44,Nocturnal Song
20200307_230000.flac,0,Yat1,2020,3,7,23,0,sp44,Nocturnal Song
20200307_233000.flac,0,Yat1,2020,3,7,23,30,sp44,Nocturnal Song
20200307_200000.flac,1,Yat1,2020,3,7,20,0,sp44,Nocturnal Song
20200307_203000.flac,1,Yat1,2020,3,7,20,30,sp44,Nocturnal Song
20200307_210000.flac,0,Yat1,2020,3,7,21,0,sp44,Nocturnal Song
20200307_213000.flac,0,Yat1,2020,3,7,21,30,sp44,Nocturnal Song
20200307_220000.flac,0,Yat1,2020,3,7,22,0,sp44,Nocturnal Song
20200307_223000.flac,0,Yat1,2020,3,7,22,30,sp44,Nocturnal Song
20200308_180000.flac,0,Yat1,2020,3,8,18,0,sp44,Nocturnal Song
20200308_183000.flac,0,Yat1,2020,3,8,18,30,sp44,Nocturnal Song
20200308_190000.flac,1,Yat1,2020,3,8,19,0,sp44,Nocturnal Song
20200308_193000.flac,0,Yat1,2020,3,8,19,30,sp44,Nocturnal Song
20200308_200000.flac,1,Yat1,2020,3,8,20,0,sp44,Nocturnal Song
20200308_203000.flac,0,Yat1,2020,3,8,20,30,sp44,Nocturnal Song
20200308_210000.flac,0,Yat1,2020,3,8,21,0,sp44,Nocturnal Song
20200308_213000.flac,0,Yat1,2020,3,8,21,30,sp44,Nocturnal Song
20200308_220000.flac,0,Yat1,2020,3,8,22,0,sp44,Nocturnal Song
20200308_223000.flac,0,Yat1,2020,3,8,22,30,sp44,Nocturnal Song
20200308_230000.flac,0,Yat1,2020,3,8,23,0,sp44,Nocturnal Song
20200308_233000.flac,0,Yat1,2020,3,8,23,30,sp44,Nocturnal Song
20200309_180000.flac,0,Yat1,2020,3,9,18,0,sp44,Nocturnal Song
20200309_183000.flac,0,Yat1,2020,3,9,18,30,sp44,Nocturnal Song
20200309_190000.flac,1,Yat1,2020,3,9,19,0,sp44,Nocturnal Song
20200309_193000.flac,0,Yat1,2020,3,9,19,30,sp44,Nocturnal Song
20200309_200000.flac,1,Yat1,2020,3,9,20,0,sp44,Nocturnal Song
20200309_203000.flac,1,Yat1,2020,3,9,20,30,sp44,Nocturnal Song
20200309_210000.flac,0,Yat1,2020,3,9,21,0,sp44,Nocturnal Song
20200309_213000.flac,0,Yat1,2020,3,9,21,30,sp44,Nocturnal Song
20200309_223000.flac,0,Yat1,2020,3,9,22,30,sp44,Nocturnal Song
20200309_230000.flac,0,Yat1,2020,3,9,23,0,sp44,Nocturnal Song
20200309_233000.flac,0,Yat1,2020,3,9,23,30,sp44,Nocturnal Song
20200309_220000.flac,0,Yat1,2020,3,9,22,0,sp44,Nocturnal Song
20200310_180000.flac,0,Yat1,2020,3,10,18,0,sp44,Nocturnal Song
20200310_183000.flac,1,Yat1,2020,3,10,18,30,sp44,Nocturnal Song
20200310_190000.flac,0,Yat1,2020,3,10,19,0,sp44,Nocturnal Song
20200310_193000.flac,0,Yat1,2020,3,10,19,30,sp44,Nocturnal Song
20200310_200000.flac,0,Yat1,2020,3,10,20,0,sp44,Nocturnal Song
20200310_203000.flac,1,Yat1,2020,3,10,20,30,sp44,Nocturnal Song
20200310_210000.flac,0,Yat1,2020,3,10,21,0,sp44,Nocturnal Song
20200310_213000.flac,0,Yat1,2020,3,10,21,30,sp44,Nocturnal Song
20200310_220000.flac,0,Yat1,2020,3,10,22,0,sp44,Nocturnal Song
20200310_223000.flac,0,Yat1,2020,3,10,22,30,sp44,Nocturnal Song
20200310_230000.flac,0,Yat1,2020,3,10,23,0,sp44,Nocturnal Song
20200310_233000.flac,0,Yat1,2020,3,10,23,30,sp44,Nocturnal Song
