"","Bmean","Lower","Upper","n","Species","Frequency","freq"
"dB1",13505.1438,13467.4,13551.6,5,"gr12","dom","freq"
"dB2",13618.84654,13571.8,13653.4,5,"gr12","max","freq"
"dB3",12888.6765,12791.6,13025,5,"gr12","min","freq"
"dB4",16371.70948,16265.4,16540,5,"gr13","dom","freq"
"dB5",22205.17778,21850,22431.6,5,"gr13","max","freq"
"dB6",13260.8824,13241,13285.4,5,"gr13","min","freq"
"dB7",2604.77616,2589,2620.2,5,"gr2","dom","freq"
"dB8",2693.47048,2669.4,2719.8,5,"gr2","max","freq"
"dB9",2522.1785,2519,2526.6,5,"gr2","min","freq"
"dB10",20776.74016,20134,21442.4,5,"gr20","dom","freq"
"dB11",24088.11464,23350.6,24650.4,5,"gr20","max","freq"
"dB12",18767.66056,18397.6,19189.2,5,"gr20","min","freq"
"dB13",20340.65504,20170.6,20440,5,"gr22","dom","freq"
"dB14",23054.951,22960,23125,5,"gr22","max","freq"
"dB15",16477.54948,16381.8,16572.6,5,"gr22","min","freq"
"dB16",3532.50668,3513.6,3551.2,5,"gr4","dom","freq"
"dB17",3642.08938,3611.2,3666,5,"gr4","max","freq"
"dB18",3305.87078,3273.2,3340,5,"gr4","min","freq"
"dB19",6752.47368,6742,6767.2,5,"gr8","dom","freq"
"dB20",8437.89766,8047.6,8800.8,5,"gr8","max","freq"
"dB21",6169.2288,6144.4,6183,5,"gr8","min","freq"
